WSms;WSkts
43.72778;85.00000432
54.01667;105.0000065
24.10845;46.86307775
51.44444;99.99999136
38.58333;74.99999352
38.58333;74.99999352
64.30556;125.0000086
38.58333;74.99999352
30.86667;60.00000648
30.86667;60.00000648
37.67321;73.23086177
51.44444;99.99999136
46.3;90
51.44444;99.99999136
51.44444;99.99999136
43.72778;85.00000432
48.87222;94.99999568
51.44444;99.99999136
36.01111;69.99999784
48.87222;94.99999568
64.30556;125.0000086
58.87026;114.4346307
43.72778;85.00000432
36.01111;69.99999784
48.87222;94.99999568
46.3;90
18.00556;35.00000864
33.43889;65.00000216
43.72778;85.00000432
20.88138;40.59015551
46.3;90
44.60794;86.71089849
46.3;90
46.3;90
24.10845;46.86307775
46.3;90
48.87222;94.99999568
29.94165;58.20191145
43.72778;85.00000432
28.29445;55.0000108
58.87026;114.4346307
28.29445;55.0000108
23.15;45
54.01667;105.0000065
36.01111;69.99999784
53.02025;103.063121
58.87026;114.4346307
51.44444;99.99999136
48.87222;94.99999568
24.10845;46.86307775
19.51154;37.92739957
48.87222;94.99999568
64.30556;125.0000086
30.86667;60.00000648
48.87222;94.99999568
54.01667;105.0000065
48.87222;94.99999568
23.15;45
51.44444;99.99999136
46.3;90
18.00556;35.00000864
64.30556;125.0000086
48.87222;94.99999568
46.3;90
60.74938;118.0873477
18.00556;35.00000864
48.87222;94.99999568
46.3;90
51.44444;99.99999136
25.72222;49.99999568
46.3;90
36.01111;69.99999784
46.3;90
48.87222;94.99999568
33.43889;65.00000216
53.02025;103.063121
41.15556;80.00000864
43.72778;85.00000432
42.36677;82.35441253
51.44444;99.99999136
36.01111;69.99999784
36.01111;69.99999784
51.44444;99.99999136
54.01667;105.0000065
20.57778;40.00000432
53.02025;103.063121
51.44444;99.99999136
46.3;90
48.87222;94.99999568
25.72222;49.99999568
18.00556;35.00000864
51.44444;99.99999136
46.3;90
53.02025;103.063121
64.30556;125.0000086
30.86667;60.00000648
48.87222;94.99999568
